,Model,R2 (log),MAE (log),RMSE (log),R2 (orig),MAE (orig),RMSE (orig)
0,"Baseline (All Features, Scaled)",0.861201614386405,0.18555108264568282,0.3991844620191991,0.12535703170993018,21.643176133779626,222.7017475386424
1,"Selected Features (No Clusters, Scaled)",0.8450479732425281,0.18897358882013343,0.42177423996708663,0.05542902476911038,21.91822660295652,231.43312452066803
2,"Selected Features (With Clusters, Scaled)",0.8467704974168218,0.17909216589716165,0.41942336169701794,0.05459082932459447,21.866389157939853,231.53578656506744
